Unnamed: 0,ID,type,statement,question_1,question_2,option_1,option_2,option_3,question_3,constractive_statement,question_4,constructive_question
0,0,Camera Perspective,top view of corn,Is this a close-up view of corn in the picture?, What's the camera perspective of this corn?, top view, close-up view, side view, Please describe the camera perspective of this corn in detail.,This is a top view of corn in the picture.,Is this a close-up view of wheat in the picture?,Is this a top view of corn?
1,1,Camera Perspective,side view of the duck,Is the duck shown in a front view in this picture?, What's the camera perspective of this duck?, side view, front view, bottom view, Please describe the camera perspective of this duck in detail.,The duck is shown in a front view in this picture.,Is the duck shown in a top view in this picture?,Is this a side view of the duck?
2,2,Camera Perspective,front view of the duck,Is the duck viewed from the side in this picture?, What's the camera perspective of this duck?, front view, bottom view, side view, Please describe the camera perspective of this duck in detail.,The duck is viewed from the side in this picture.,Is the duck viewed from above in this picture?,Is this a front view of the duck?
3,3,Camera Perspective,words shown directly to the camera,Are the words shown at an angle to the camera in this picture?, What's the camera perspective of the words?, words shown directly to the camera, words shown at an angle to the camera, the is no visible words, Please describe the camera perspective of the words on the school buses,The words shown are at an angle to the camera in this picture.,Are the numbers shown at an angle to the camera in this picture?,Is this a picture of words shown directly to the camera?
4,4,Camera Perspective,words shown at an angle to the camera,Are the words shown directly to the camera in this picture?, What's the camera perspective of the words?, words shown at an angle to the camera, words shown directly to the camera, the is no visible words, Please describe the camera perspective of the words on the school buses,The words are shown directly to the camera in this picture.,Is the text facing directly away from the camera in this picture?,Is this a picture of words shown at an angle to the camera?
5,5,Camera Perspective,wine glass from bottom-up view,Is the wine glass shown from a top-down view in this picture?, What's the camera perspective of this wine glass?, bottom-up view, top-down view, side_view, Tell me about how is the glass shown from a camera view.,The wine glass is shown from a top-down view in this picture.,Is the coffee mug shown from a top-down view in this picture?,Is this a bottom-up view of a wine glass?
6,6,Camera Perspective,wine glass from top-down view,Is this a picture of a wine glass from a bottom-up view?, What's the camera perspective of this wine glass?, top-down view, bottom-up view, front view, Please describe the camera perspective of glass in this image,This is a picture of a wine glass from a bottom-up view.,Is this a picture of a coffee mug from a bottom-up view?,Is this a top-down view of a wine glass?
7,7,Camera Perspective,back view of a person,Is this picture showing a side view of a person?, What's the camera perspective of this person?, back view, side view, top view, Please tell describe the camera perspective of the person in detail,This picture shows a side view of a person.,Is this picture showing a front view of a car?,Is this a back view of a person?
8,8,Camera Perspective,top view of an apple,Is the apple viewed at eye level in this picture?, What's the camera perspective of this apple?, top view, eye level view, bottom-up view, Please describe the camera perspective of this apple in detail,The apple is viewed at eye level in this picture.,Is the apple viewed from below in this picture?,Is this a top view of an apple?
9,9,Color,butterfly on the purple flower,Is there a butterfly on the pink flower in this picture?, What color flower is the butterfly sitting on in the picture?, purple, pink, blue, Please describe the color of the flower that the butterfly is on in this image. ,There is a butterfly on the pink flower in this picture.,Is there a butterfly on the yellow flower in this picture?,Is this a butterfly on the purple flower?
10,10,Color,butterfly on the pink flower,Is there a butterfly on the purple flower in this picture?, What color flower is the butterfly sitting on in the picture?, pink, purple, blue, Please describe the color of the flower that the butterfly is on in this image.,There is a butterfly on the purple flower in this picture.,Is there a butterfly on the blue flower in this picture?,Is this a butterfly on the pink flower?
11,11,Color,dark blue sky,Is the sky light blue in this picture?, What kind of blue is the sky in the picture (dark light or etc.)?, dark blue, light blue, not blue but gray, Please describe the color of the sky in detailed in this image.,The sky is light blue in this picture.,Is the grass yellow in this picture?,Is this a picture of a dark blue sky?
12,12,Color,different colors of grapes,Is there only one color of grape in this picture?, What colors of grapes are there in the picture?, green red (purple) and black, only green, only black, Please describe the colors of the grapes in this image.,There is only one color of grape in this picture.,Is there only one color of apple in this picture?,Is this a picture of different colors of grapes?
13,13,Spatial,male on the left of female ,Is the female on the left of the male in this picture?, Where is the man in the picture relative to the woman?, male on the left of the female, female on the left of the male, male on the top of the female, Please describe the relative positions of the male and the female in the image.,The female is on the left of the male in this picture.,Is the female above the male in this picture?,Is this a picture of a male on the left of a female?
14,14,Spatial,moon on top of the castle,Is the moon on the upper left of the castle in this picture?, Where is the moon in the picture relative to the castle?, moon on top of the castle, moon on the upper left of the castle, there is no moon visible in the picture, Please describe the relative positions of the moons and the castle in the image.,The moon is on the upper left of the castle in this picture.,Is the sun on the upper left of the castle in this picture?,Is this a picture of the moon on top of the castle?
15,15,Spatial,moon on the upper left of the castle,Is the moon on top of the castle in this picture?, Where is the moon in the picture relative to the castle?, moon on the upper left of the castle, moon on top of the castle, there is no moon visible in the picture, Please describe the relative positions of the moons and the castle in the image.,The moon is on top of the castle in this picture.,Is the sun on top of the castle in this picture?,Is the moon on the upper left of the castle?
